Gene stable ID	UniProtKB/Swiss-Prot ID
ENSMUSG00000042751	Q8BNJ3
ENSMUSG00000058979	Q91WM2
ENSMUSG00000037553	Q5Y5T2
ENSMUSG00000073599	Q3TZW0
ENSMUSG00000020275	
ENSMUSG00000073599	
ENSMUSG00000027668	Q811U4
ENSMUSG00000058440	Q9WU00
ENSMUSG00000041684	
ENSMUSG00000022340	Q8BHS8
ENSMUSG00000026275	Q3UM45
ENSMUSG00000096074	P06328
ENSMUSG00000024234	Q9D0D3
ENSMUSG00000026275	
ENSMUSG00000027668	
ENSMUSG00000030344	O88987
ENSMUSG00000031434	Q8BMD7
ENSMUSG00000031434	
ENSMUSG00000049843	Q8VES2
ENSMUSG00000047810	Q4QRL3
ENSMUSG00000095577	
ENSMUSG00000022340	
ENSMUSG00000034639	Q80UJ9
ENSMUSG00000028329	
ENSMUSG00000096194	
ENSMUSG00000034639	
ENSMUSG00000044933	P30935
ENSMUSG00000006200	
ENSMUSG00000094113	
ENSMUSG00000051166	
ENSMUSG00000058440	
ENSMUSG00000024498	Q8CGF7
ENSMUSG00000024498	
ENSMUSG00000044933	
ENSMUSG00000028329	Q64267
ENSMUSG00000076733	
ENSMUSG00000054302	Q5BU09
ENSMUSG00000019734	
ENSMUSG00000054302	
ENSMUSG00000012535	Q6P2B1
ENSMUSG00000051166	Q8BQM8
ENSMUSG00000057454	Q91YK8
ENSMUSG00000024350	Q9CZJ9
ENSMUSG00000025154	Q8BRH3
ENSMUSG00000052395	Q8C3B8
ENSMUSG00000071767	
ENSMUSG00000024350	
ENSMUSG00000022463	Q3U1N2
ENSMUSG00000012535	
ENSMUSG00000025154	
ENSMUSG00000068574	
ENSMUSG00000042363	Q8VED9
ENSMUSG00000025437	Q8R5K2
ENSMUSG00000025437	
ENSMUSG00000078161	
ENSMUSG00000022463	
ENSMUSG00000003273	O70354
ENSMUSG00000025091	P17892
ENSMUSG00000052395	
ENSMUSG00000084262	
ENSMUSG00000027788	Q4ZJM7
ENSMUSG00000073598	Q3TS39
ENSMUSG00000041684	Q8CBX9
ENSMUSG00000053194	Q9D9N5
ENSMUSG00000003273	
ENSMUSG00000021241	Q9DCB8
ENSMUSG00000114456	Q64478
ENSMUSG00000058192	
ENSMUSG00000021241	
ENSMUSG00000025326	O08759
ENSMUSG00000059588	Q9R1W5
ENSMUSG00000054497	P59530
ENSMUSG00000068962	
ENSMUSG00000100210	P84228
ENSMUSG00000033096	Q9D7N9
ENSMUSG00000036160	P70279
ENSMUSG00000036160	
ENSMUSG00000058244	
ENSMUSG00000035632	
ENSMUSG00000025762	
ENSMUSG00000024975	Q61823
ENSMUSG00000056370	
ENSMUSG00000067545	
ENSMUSG00000026767	
ENSMUSG00000069274	P62806
ENSMUSG00000029672	Q91VU0
ENSMUSG00000118219	
ENSMUSG00000031538	P11214
ENSMUSG00000061000	Q8VG13
ENSMUSG00000024975	
ENSMUSG00000029672	
ENSMUSG00000006021	
ENSMUSG00000087598	
ENSMUSG00000063764	Q8VG42
ENSMUSG00000028330	Q3UYV9
ENSMUSG00000026931	
ENSMUSG00000052565	P43277
ENSMUSG00000030615	
ENSMUSG00000009551	
ENSMUSG00000026931	Q9CQT6
ENSMUSG00000118459	
ENSMUSG00000096097	Q5M8Q2
ENSMUSG00000022431	
ENSMUSG00000094904	Q5M8Q2
ENSMUSG00000015869	
ENSMUSG00000095413	
ENSMUSG00000030815	
ENSMUSG00000079330	
ENSMUSG00000095655	Q5M8Q2
ENSMUSG00000035632	Q8K0V4
ENSMUSG00000095662	Q5M8Q2
ENSMUSG00000079330	Q14C37
ENSMUSG00000070424	P70352
ENSMUSG00000030615	Q9D8Y1
ENSMUSG00000037679	
ENSMUSG00000084957	
ENSMUSG00000099443	Q5M8Q2
ENSMUSG00000028345	
ENSMUSG00000025326	
ENSMUSG00000030087	Q9EPW2
ENSMUSG00000079157	Q8CCS2
ENSMUSG00000095445	Q5M8Q2
ENSMUSG00000049265	O35111
ENSMUSG00000061533	
ENSMUSG00000028328	P49813
ENSMUSG00000030945	Q8K0L3
ENSMUSG00000069038	
ENSMUSG00000030087	
ENSMUSG00000055707	
ENSMUSG00000028328	
ENSMUSG00000079157	
ENSMUSG00000055707	Q8BGY4
ENSMUSG00000022200	Q9CRA5
ENSMUSG00000032698	
ENSMUSG00000069273	P84228
ENSMUSG00000022200	
ENSMUSG00000028345	Q3URQ0
ENSMUSG00000003166	
ENSMUSG00000049280	
ENSMUSG00000037922	
ENSMUSG00000037922	Q80VH0
ENSMUSG00000029771	P56477
ENSMUSG00000030815	Q9DB30
ENSMUSG00000029771	
ENSMUSG00000030996	Q60935
ENSMUSG00000030996	
ENSMUSG00000036641	
ENSMUSG00000030945	
ENSMUSG00000069045	Q62095
ENSMUSG00000032698	P25801
ENSMUSG00000024737	Q8BPX9
ENSMUSG00000036641	Q6P5U8
ENSMUSG00000066279	
ENSMUSG00000069045	
ENSMUSG00000025423	Q8C5D8
ENSMUSG00000027993	Q9ESN6
ENSMUSG00000036395	
ENSMUSG00000006169	
ENSMUSG00000028416	
ENSMUSG00000057176	Q6NZQ0
ENSMUSG00000026767	Q9CV28
ENSMUSG00000063206	
ENSMUSG00000057176	
ENSMUSG00000025423	
ENSMUSG00000045083	Q3URE9
ENSMUSG00000028416	Q60739
ENSMUSG00000061533	Q8BI22
ENSMUSG00000091983	
ENSMUSG00000024736	Q922P8
ENSMUSG00000059013	Q9QZS8
ENSMUSG00000024736	
ENSMUSG00000058618	
ENSMUSG00000030588	Q9CX30
ENSMUSG00000027993	
ENSMUSG00000062892	
ENSMUSG00000025754	
ENSMUSG00000027201	Q8C854
ENSMUSG00000028013	Q91VM9
ENSMUSG00000059263	Q8BY87
ENSMUSG00000028013	
ENSMUSG00000059263	
ENSMUSG00000052726	
ENSMUSG00000035964	Q7TNI2
ENSMUSG00000093923	
ENSMUSG00000064213	Q5G865
ENSMUSG00000030588	
ENSMUSG00000025754	Q09M05
ENSMUSG00000038587	Q9WTQ5
ENSMUSG00000028344	
ENSMUSG00000095976	
ENSMUSG00000033671	E9Q309
ENSMUSG00000027201	
ENSMUSG00000033671	
ENSMUSG00000092470	
ENSMUSG00000094575	
ENSMUSG00000001552	Q02257
ENSMUSG00000030587	
ENSMUSG00000066071	Q91WL5
ENSMUSG00000053389	Q7M725
ENSMUSG00000038102	B2RXC1
ENSMUSG00000079550	Q6P7F1
ENSMUSG00000057754	Q7M724
ENSMUSG00000093942	
ENSMUSG00000041566	Q61241
ENSMUSG00000031253	Q8R054
ENSMUSG00000074653	
ENSMUSG00000015776	Q62276
ENSMUSG00000094970	
ENSMUSG00000069272	C0HKE1
ENSMUSG00000069272	C0HKE2
ENSMUSG00000069272	C0HKE3
ENSMUSG00000069272	C0HKE4
ENSMUSG00000069272	C0HKE5
ENSMUSG00000069272	C0HKE6
ENSMUSG00000069272	C0HKE7
ENSMUSG00000069272	C0HKE8
ENSMUSG00000069272	C0HKE9
ENSMUSG00000004393	Q9D0R4
ENSMUSG00000004393	
ENSMUSG00000096209	Q8VEW6
ENSMUSG00000056305	Q3TIX9
ENSMUSG00000028419	Q9D7S9
ENSMUSG00000079550	
ENSMUSG00000095710	
ENSMUSG00000035372	
ENSMUSG00000060878	
ENSMUSG00000048108	Q8C3K5
ENSMUSG00000056305	
ENSMUSG00000015776	
ENSMUSG00000091933	
ENSMUSG00000048108	
ENSMUSG00000073197	
ENSMUSG00000035372	Q9D8N1
ENSMUSG00000046913	
ENSMUSG00000034774	Q7TSF0
ENSMUSG00000024787	Q91WE1
ENSMUSG00000020021	Q69ZL1
ENSMUSG00000074283	
ENSMUSG00000078597	
ENSMUSG00000024787	
ENSMUSG00000001785	
ENSMUSG00000090631	
ENSMUSG00000042115	Q91XA8
ENSMUSG00000029910	Q9Z1B5
ENSMUSG00000058706	Q149G0
ENSMUSG00000035183	Q8C261
ENSMUSG00000049648	
ENSMUSG00000039081	Q7TMA2
ENSMUSG00000067199	P70339
ENSMUSG00000109148	
ENSMUSG00000061666	Q9CRY7
ENSMUSG00000023165	
ENSMUSG00000047604	Q8K025
ENSMUSG00000036002	Q8BR27
ENSMUSG00000041669	
ENSMUSG00000090527	
ENSMUSG00000047104	
ENSMUSG00000035958	Q9JJX7
ENSMUSG00000036002	
ENSMUSG00000035958	
ENSMUSG00000030101	Q8R0F3
ENSMUSG00000033938	Q9CR61
ENSMUSG00000007653	P63137
ENSMUSG00000055679	Q9JIA9
ENSMUSG00000001785	Q99LL5
ENSMUSG00000032036	
ENSMUSG00000062905	
ENSMUSG00000030101	
ENSMUSG00000079144	Q9DAE8
ENSMUSG00000044847	Q8BUV6
ENSMUSG00000047648	Q8BJL1
ENSMUSG00000079626	
ENSMUSG00000094755	
ENSMUSG00000079144	
ENSMUSG00000025887	O08736
ENSMUSG00000025887	
ENSMUSG00000027188	Q8BU25
ENSMUSG00000071494	
ENSMUSG00000021492	Q80YC5
ENSMUSG00000030486	
ENSMUSG00000029911	
ENSMUSG00000021492	
ENSMUSG00000064137	
ENSMUSG00000029911	Q9CYR0
ENSMUSG00000094124	
ENSMUSG00000071065	
ENSMUSG00000004609	Q63994
ENSMUSG00000069044	
ENSMUSG00000020495	Q8VE18
ENSMUSG00000026288	Q9ES52
ENSMUSG00000061977	Q7M723
ENSMUSG00000020495	
ENSMUSG00000068048	
ENSMUSG00000044748	P56386
ENSMUSG00000027384	A2APY7
ENSMUSG00000070814	Q6DI92
ENSMUSG00000063334	Q8BGA5
ENSMUSG00000004609	
ENSMUSG00000028527	Q9WUR9
ENSMUSG00000070814	
ENSMUSG00000063334	
ENSMUSG00000050478	
ENSMUSG00000022184	Q8CHQ0
ENSMUSG00000019982	
ENSMUSG00000028527	
ENSMUSG00000049894	
ENSMUSG00000009876	Q91W29
ENSMUSG00000009291	Q8R143
ENSMUSG00000019982	P06876
ENSMUSG00000062773	Q9JMI7
ENSMUSG00000026638	P97431
ENSMUSG00000046139	Q3TC46
ENSMUSG00000062773	
ENSMUSG00000056888	Q9CWG1
ENSMUSG00000009291	
ENSMUSG00000100058	
ENSMUSG00000075327	
ENSMUSG00000056888	
ENSMUSG00000026479	
ENSMUSG00000046139	
ENSMUSG00000029221	
ENSMUSG00000094986	
ENSMUSG00000101401	
ENSMUSG00000096467	
ENSMUSG00000029221	Q5IRJ6
ENSMUSG00000058385	Q6ZWY9
ENSMUSG00000026288	
ENSMUSG00000096620	
ENSMUSG00000069268	P10853
ENSMUSG00000051153	Q9JKT4
ENSMUSG00000026527	
ENSMUSG00000007411	Q03141
ENSMUSG00000056946	
ENSMUSG00000028536	Q9CQM1
ENSMUSG00000029992	
ENSMUSG00000055653	Q8CFZ4
ENSMUSG00000063478	Q7M722
ENSMUSG00000026527	O54829
ENSMUSG00000055653	
ENSMUSG00000062647	P12970
ENSMUSG00000055942	
ENSMUSG00000039253	Q8K274
ENSMUSG00000042804	
ENSMUSG00000100240	
ENSMUSG00000022236	Q9EQ00
ENSMUSG00000017781	P53810
ENSMUSG00000042804	Q8K0Z9
ENSMUSG00000007411	
ENSMUSG00000017781	
ENSMUSG00000026048	
ENSMUSG00000051200	
ENSMUSG00000031214	Q99J31
ENSMUSG00000057522	Q6ZWS8
ENSMUSG00000031214	
ENSMUSG00000068270	Q1W617
ENSMUSG00000069441	Q61495
ENSMUSG00000037989	
ENSMUSG00000068270	
ENSMUSG00000024862	
ENSMUSG00000053799	
ENSMUSG00000057522	
ENSMUSG00000037833	A6X942
ENSMUSG00000051593	
ENSMUSG00000046337	
ENSMUSG00000095522	
ENSMUSG00000038079	Q3V0J1
ENSMUSG00000070605	
ENSMUSG00000044221	Q8C5Q4
ENSMUSG00000038079	
ENSMUSG00000021012	Q8BJ05
ENSMUSG00000044221	
ENSMUSG00000036951	
ENSMUSG00000049717	Q8BTF7
ENSMUSG00000018656	Q6QR59
ENSMUSG00000018656	
ENSMUSG00000046719	Q91VX5
ENSMUSG00000037318	
ENSMUSG00000059375	
ENSMUSG00000027180	Q9DC63
ENSMUSG00000036327	Q3TMX7
ENSMUSG00000071478	C0HKE1
ENSMUSG00000071478	C0HKE2
ENSMUSG00000071478	C0HKE3
ENSMUSG00000071478	C0HKE4
ENSMUSG00000071478	C0HKE5
ENSMUSG00000071478	C0HKE6
ENSMUSG00000071478	C0HKE7
ENSMUSG00000071478	C0HKE8
ENSMUSG00000071478	C0HKE9
ENSMUSG00000033039	Q8BGT6
ENSMUSG00000025425	P70126
ENSMUSG00000004980	O88569
ENSMUSG00000040586	
ENSMUSG00000066241	
ENSMUSG00000025656	Q3UTH8
ENSMUSG00000059070	P35980
ENSMUSG00000049119	Q8C739
ENSMUSG00000096687	
ENSMUSG00000099583	P84228
ENSMUSG00000059070	
ENSMUSG00000050251	
ENSMUSG00000026775	O88967
ENSMUSG00000027180	
ENSMUSG00000033039	
ENSMUSG00000029782	
ENSMUSG00000055850	Q9CY62
ENSMUSG00000029992	P47856
ENSMUSG00000049119	
ENSMUSG00000046085	
ENSMUSG00000030088	Q8R0Y6
ENSMUSG00000045587	
ENSMUSG00000079020	Q0P5V9
ENSMUSG00000004980	
ENSMUSG00000051362	
ENSMUSG00000021012	
ENSMUSG00000079317	Q9CQP2
ENSMUSG00000079020	
ENSMUSG00000034664	Q9QUM0
ENSMUSG00000030088	
ENSMUSG00000079317	
ENSMUSG00000056592	
ENSMUSG00000001962	Q9WV03
ENSMUSG00000055850	
ENSMUSG00000031568	
ENSMUSG00000059824	Q60925
ENSMUSG00000001023	P63084
ENSMUSG00000059824	
ENSMUSG00000091405	P62806
ENSMUSG00000029869	O08644
ENSMUSG00000039701	P15975
ENSMUSG00000026934	P50481
ENSMUSG00000029869	
ENSMUSG00000031568	Q9CPR1
ENSMUSG00000025656	
ENSMUSG00000039701	
ENSMUSG00000074403	P84228
ENSMUSG00000090764	
ENSMUSG00000105827	Q64525
ENSMUSG00000060147	Q60854
ENSMUSG00000029250	Q8CFI7
ENSMUSG00000052850	
ENSMUSG00000011254	Q9CY52
ENSMUSG00000055912	Q91WN2
ENSMUSG00000011254	
ENSMUSG00000055912	
ENSMUSG00000037140	Q9JKT3
ENSMUSG00000034320	Q62273
ENSMUSG00000001025	P14069
ENSMUSG00000060147	
ENSMUSG00000042616	Q8BHW2
ENSMUSG00000034320	
ENSMUSG00000042616	
ENSMUSG00000048933	
ENSMUSG00000082216	
ENSMUSG00000066643	Q8BND3
ENSMUSG00000073267	
ENSMUSG00000033029	
ENSMUSG00000024687	Q3B7Z2
ENSMUSG00000006641	Q5U4D8
ENSMUSG00000063767	Q6S5I3
ENSMUSG00000020234	
ENSMUSG00000057342	Q9JIA7
ENSMUSG00000075330	
ENSMUSG00000093825	
ENSMUSG00000033029	Q9D9S1
ENSMUSG00000079391	
ENSMUSG00000044768	Q8VEB3
ENSMUSG00000020234	A6H6Q4
ENSMUSG00000057342	
ENSMUSG00000036256	
ENSMUSG00000096254	
ENSMUSG00000066643	
ENSMUSG00000112148	
ENSMUSG00000029851	Q921K8
ENSMUSG00000018846	Q8R2W9
ENSMUSG00000044768	
ENSMUSG00000095962	
ENSMUSG00000054000	Q673H1
ENSMUSG00000055884	Q8BGE5
ENSMUSG00000026620	Q8VHJ5
ENSMUSG00000026620	
ENSMUSG00000055884	
ENSMUSG00000026774	
ENSMUSG00000025175	Q9ER35
ENSMUSG00000029661	
ENSMUSG00000034854	Q3U481
ENSMUSG00000029782	Q8BRG8
ENSMUSG00000109392	
ENSMUSG00000034854	
ENSMUSG00000006641	
ENSMUSG00000025175	
ENSMUSG00000050854	Q8CHQ6
ENSMUSG00000050854	
ENSMUSG00000090121	
ENSMUSG00000020473	Q640N1
ENSMUSG00000031442	
ENSMUSG00000026121	Q64151
ENSMUSG00000096769	
ENSMUSG00000060679	Q9D7N3
ENSMUSG00000015001	
ENSMUSG00000091012	
ENSMUSG00000105734	A0A1B0GQX3
ENSMUSG00000032036	Q8BR86
ENSMUSG00000029265	Q91WV0
ENSMUSG00000027849	Q9R0N8
ENSMUSG00000039765	Q8CFW7
ENSMUSG00000094601	
ENSMUSG00000112148	Q64281
ENSMUSG00000039765	
ENSMUSG00000091376	
ENSMUSG00000015001	Q9Z0L3
ENSMUSG00000060679	
ENSMUSG00000046949	
ENSMUSG00000026121	
ENSMUSG00000033020	P61219
ENSMUSG00000027849	
ENSMUSG00000033020	
ENSMUSG00000022206	P70180
ENSMUSG00000040396	Q80UX8
ENSMUSG00000020514	Q8BU88
ENSMUSG00000022206	
ENSMUSG00000013622	
ENSMUSG00000029909	Q9DAA4
ENSMUSG00000030994	D2J0Y4
ENSMUSG00000031433	
ENSMUSG00000020471	O35654
ENSMUSG00000028730	Q9D180
ENSMUSG00000046949	Q9JI75
ENSMUSG00000031433	Q8JZV4
ENSMUSG00000028946	Q61657
ENSMUSG00000004394	Q8R1V4
ENSMUSG00000020471	
ENSMUSG00000027367	Q8R1R3
ENSMUSG00000019590	Q60720
ENSMUSG00000030994	
ENSMUSG00000028946	
ENSMUSG00000004394	
ENSMUSG00000030614	Q9D1R1
ENSMUSG00000019590	
ENSMUSG00000051062	Q80WS3
ENSMUSG00000027367	
ENSMUSG00000062434	
ENSMUSG00000095163	
ENSMUSG00000087119	
ENSMUSG00000112023	Q61450
ENSMUSG00000096020	
ENSMUSG00000021441	
ENSMUSG00000040046	P17532
ENSMUSG00000112023	
ENSMUSG00000022197	
ENSMUSG00000093896	
ENSMUSG00000040046	
ENSMUSG00000094399	
ENSMUSG00000068437	
ENSMUSG00000034659	Q3UBX0
ENSMUSG00000074227	Q9WU03
ENSMUSG00000034659	
ENSMUSG00000020892	Q9WV07
ENSMUSG00000019815	
ENSMUSG00000032615	Q8VCE6
ENSMUSG00000006931	Q8K2B0
ENSMUSG00000040432	Q9JJL9
ENSMUSG00000003184	P70671
ENSMUSG00000040701	
ENSMUSG00000069132	Q61199
ENSMUSG00000006931	
ENSMUSG00000107874	
ENSMUSG00000018567	Q9DCD6
ENSMUSG00000020892	
ENSMUSG00000018567	
ENSMUSG00000061482	P62806
ENSMUSG00000013622	Q6PGD0
ENSMUSG00000067543	
ENSMUSG00000026387	
ENSMUSG00000020572	
ENSMUSG00000096452	
ENSMUSG00000026387	Q5FWI2
ENSMUSG00000055401	Q9QZN4
ENSMUSG00000096753	
ENSMUSG00000096883	J3QNX5
ENSMUSG00000030469	
ENSMUSG00000096883	
ENSMUSG00000036813	Q8K0L2
ENSMUSG00000003184	
ENSMUSG00000066240	
ENSMUSG00000020235	Q9R1K5
ENSMUSG00000090891	
ENSMUSG00000020235	
ENSMUSG00000046431	
ENSMUSG00000055401	
ENSMUSG00000050188	Q8QZX5
ENSMUSG00000050188	
ENSMUSG00000020963	
ENSMUSG00000046908	O88855
ENSMUSG00000036813	
ENSMUSG00000031139	
ENSMUSG00000021408	Q60855
ENSMUSG00000055102	
ENSMUSG00000057461	
ENSMUSG00000020572	Q99KQ4
ENSMUSG00000050777	Q9JJV3
ENSMUSG00000021408	
ENSMUSG00000073956	
ENSMUSG00000058717	
ENSMUSG00000060699	
ENSMUSG00000099856	
ENSMUSG00000020493	Q8BHE0
ENSMUSG00000020963	P47750
ENSMUSG00000033717	
ENSMUSG00000073207	Q3UYG1
ENSMUSG00000073955	
ENSMUSG00000003190	
ENSMUSG00000048029	
ENSMUSG00000062593	
ENSMUSG00000070983	
ENSMUSG00000069874	
ENSMUSG00000039662	
ENSMUSG00000048029	Q8C042
ENSMUSG00000073954	
ENSMUSG00000047129	
ENSMUSG00000029154	Q91YL7
ENSMUSG00000084786	Q9EPV8
ENSMUSG00000061637	
ENSMUSG00000027340	Q9EPR4
ENSMUSG00000084786	
ENSMUSG00000015947	P26151
ENSMUSG00000019373	O88543
ENSMUSG00000019373	
ENSMUSG00000015947	
ENSMUSG00000062593	Q64281
ENSMUSG00000019876	
ENSMUSG00000078853	
ENSMUSG00000019782	Q9CQK7
ENSMUSG00000041301	P26361
ENSMUSG00000027340	
ENSMUSG00000014551	Q9D125
ENSMUSG00000031932	P30731
ENSMUSG00000068259	
ENSMUSG00000031865	
ENSMUSG00000007659	Q64373
ENSMUSG00000069421	
ENSMUSG00000025092	Q8K0U4
ENSMUSG00000066892	
ENSMUSG00000062432	
ENSMUSG00000020794	P62254
ENSMUSG00000025092	
ENSMUSG00000020794	
ENSMUSG00000061353	P40224
ENSMUSG00000018865	P63046
ENSMUSG00000041907	Q9EQQ4
ENSMUSG00000002105	Q8BZH0
ENSMUSG00000066892	Q9EPX5
ENSMUSG00000037166	
ENSMUSG00000037166	Q91VC7
ENSMUSG00000045514	
ENSMUSG00000096283	
ENSMUSG00000036805	Q8CJ00
ENSMUSG00000007659	
ENSMUSG00000027452	Q99NB1
ENSMUSG00000061353	
ENSMUSG00000028444	O88507
ENSMUSG00000005881	Q9CQE7
ENSMUSG00000002105	
ENSMUSG00000071713	P26955
ENSMUSG00000041301	
ENSMUSG00000031865	O08788
ENSMUSG00000045107	Q8K190
ENSMUSG00000042816	Q7TSN6
ENSMUSG00000040701	O88512
ENSMUSG00000046317	
ENSMUSG00000023092	P97447
ENSMUSG00000071713	
ENSMUSG00000020265	Q9Z172
ENSMUSG00000028444	
ENSMUSG00000054005	
ENSMUSG00000019066	P35276
ENSMUSG00000079704	
ENSMUSG00000023092	
ENSMUSG00000005881	
ENSMUSG00000020265	
ENSMUSG00000054474	Q80W22
ENSMUSG00000079702	
ENSMUSG00000068173	
ENSMUSG00000079316	Q9R0M6
ENSMUSG00000079316	
ENSMUSG00000058498	Q3V3A7
ENSMUSG00000005893	P49117
ENSMUSG00000058498	
ENSMUSG00000005893	
ENSMUSG00000054474	
ENSMUSG00000018848	Q9D0I9
ENSMUSG00000039710	
ENSMUSG00000019066	
ENSMUSG00000020218	Q9WUA1
ENSMUSG00000063173	
ENSMUSG00000020218	
ENSMUSG00000091114	
ENSMUSG00000112241	
ENSMUSG00000035342	
ENSMUSG00000092120	
ENSMUSG00000056394	
ENSMUSG00000045691	Q8JZL3
ENSMUSG00000079701	
ENSMUSG00000018581	
ENSMUSG00000096555	
ENSMUSG00000092360	
ENSMUSG00000058568	Q6TU36
ENSMUSG00000020332	Q5F2C3
ENSMUSG00000063049	Q9ESK4
ENSMUSG00000049052	
ENSMUSG00000030376	Q8K596
ENSMUSG00000025283	P48026
ENSMUSG00000057914	Q8CC27
ENSMUSG00000026385	P31786
ENSMUSG00000040086	Q5GIG6
ENSMUSG00000100892	
ENSMUSG00000007888	Q9JM58
ENSMUSG00000027669	P29387
ENSMUSG00000026385	
ENSMUSG00000009293	P60605
ENSMUSG00000099711	
ENSMUSG00000051860	Q8C8Y5
ENSMUSG00000009293	
ENSMUSG00000049872	Q8R100
ENSMUSG00000024868	O54908
ENSMUSG00000035064	O08796
ENSMUSG00000035342	Q91YU6
ENSMUSG00000118405	
ENSMUSG00000024366	O35118
ENSMUSG00000035064	
ENSMUSG00000066239	
ENSMUSG00000025283	
ENSMUSG00000039508	Q8CE93
ENSMUSG00000039508	
ENSMUSG00000006570	P82020
ENSMUSG00000118409	Q99N64
ENSMUSG00000027669	
ENSMUSG00000001665	Q99L20
ENSMUSG00000027833	
ENSMUSG00000009681	Q6PAJ1
ENSMUSG00000051860	
ENSMUSG00000051627	P43274
ENSMUSG00000027833	P70390
ENSMUSG00000001665	
ENSMUSG00000101500	
ENSMUSG00000028423	B1AY10
ENSMUSG00000001666	
ENSMUSG00000009681	
ENSMUSG00000071340	Q4KL14
ENSMUSG00000007888	
ENSMUSG00000047246	Q6ZWY9
ENSMUSG00000071340	
ENSMUSG00000031255	Q9R0Q1
ENSMUSG00000020681	P09470
ENSMUSG00000024575	
ENSMUSG00000074311	
ENSMUSG00000001666	O35215
ENSMUSG00000029661	Q01149
ENSMUSG00000020681	
ENSMUSG00000033960	Q5DTX6
ENSMUSG00000056054	P27005
ENSMUSG00000056215	
ENSMUSG00000040721	Q2MHN3
ENSMUSG00000005089	P43006
ENSMUSG00000045281	Q8BYC4
ENSMUSG00000052212	Q8R2S8
ENSMUSG00000056215	Q9D5S7
ENSMUSG00000031255	
ENSMUSG00000027706	Q8BU14
ENSMUSG00000037824	Q8QZY6
ENSMUSG00000092060	
ENSMUSG00000026510	
ENSMUSG00000040374	
ENSMUSG00000019564	Q62431
ENSMUSG00000056071	P31725
ENSMUSG00000019564	
ENSMUSG00000062844	
ENSMUSG00000067529	
ENSMUSG00000003505	
ENSMUSG00000038172	Q8BYY4
ENSMUSG00000092060	P86174
ENSMUSG00000005089	
ENSMUSG00000028729	Q9D903
ENSMUSG00000074818	E9Q9W7
ENSMUSG00000031497	
ENSMUSG00000038172	
ENSMUSG00000028729	
ENSMUSG00000040489	Q8CGW4
ENSMUSG00000021175	Q922M5
ENSMUSG00000079389	
ENSMUSG00000041935	Q8BR90
ENSMUSG00000031497	Q9WU72
ENSMUSG00000057914	
ENSMUSG00000021175	
ENSMUSG00000069899	Q5SSN7
ENSMUSG00000030270	
ENSMUSG00000028391	Q9JHB4
ENSMUSG00000028391	
ENSMUSG00000098348	
ENSMUSG00000034544	Q9DBU6
ENSMUSG00000054169	
ENSMUSG00000027848	
ENSMUSG00000027761	Q99PG0
ENSMUSG00000034544	
ENSMUSG00000004069	Q99M87
ENSMUSG00000054976	
ENSMUSG00000049709	Q8CCN1
ENSMUSG00000043102	Q8CE23
ENSMUSG00000042250	Q0VB07
ENSMUSG00000058022	
ENSMUSG00000040918	Q9EQN9
ENSMUSG00000030208	P47801
ENSMUSG00000042250	
ENSMUSG00000074818	
ENSMUSG00000032648	Q9WUB3
ENSMUSG00000040918	
ENSMUSG00000069873	
ENSMUSG00000030208	
ENSMUSG00000058022	Q8C138
ENSMUSG00000032648	
ENSMUSG00000015242	
ENSMUSG00000115482	
ENSMUSG00000079388	
ENSMUSG00000000605	Q61418
ENSMUSG00000002102	O88685
ENSMUSG00000115467	
ENSMUSG00000000605	
ENSMUSG00000002102	
ENSMUSG00000079655	
ENSMUSG00000062393	
ENSMUSG00000029915	Q9R007
ENSMUSG00000000120	
ENSMUSG00000019846	P97927
ENSMUSG00000022257	Q91XQ6
ENSMUSG00000027762	Q99MT6
ENSMUSG00000096326	
ENSMUSG00000054422	P12710
ENSMUSG00000029915	
ENSMUSG00000022257	
ENSMUSG00000025777	O88741
ENSMUSG00000024953	
ENSMUSG00000096304	
ENSMUSG00000038403	Q7TQ32
ENSMUSG00000025777	
ENSMUSG00000048101	Q9JHB2
ENSMUSG00000026578	Q80ZU5
ENSMUSG00000096348	
ENSMUSG00000057503	
ENSMUSG00000002020	
ENSMUSG00000082639	
ENSMUSG00000024953	P99029
ENSMUSG00000066637	Q9DAC7
ENSMUSG00000032807	O70582
ENSMUSG00000028578	Q8VDY9
ENSMUSG00000024987	
ENSMUSG00000066637	
ENSMUSG00000051592	
ENSMUSG00000039693	Q9CR78
ENSMUSG00000030472	Q9D871
ENSMUSG00000045883	
ENSMUSG00000018999	Q8CIA5
ENSMUSG00000029175	Q8VE96
ENSMUSG00000042608	Q7TNL3
ENSMUSG00000024349	Q3TBT3
ENSMUSG00000067528	
ENSMUSG00000033228	
ENSMUSG00000042608	
ENSMUSG00000048038	
ENSMUSG00000029175	
ENSMUSG00000029263	
ENSMUSG00000038812	Q9DCG9
ENSMUSG00000020361	
ENSMUSG00000067526	
ENSMUSG00000026841	A2AV25
ENSMUSG00000048038	Q8C5V8
ENSMUSG00000058250	Q7TQA6
ENSMUSG00000038812	
ENSMUSG00000063450	
ENSMUSG00000001815	
ENSMUSG00000094075	
ENSMUSG00000018999	
ENSMUSG00000046828	Q8CDZ2
ENSMUSG00000094689	
ENSMUSG00000026575	
ENSMUSG00000028427	O54794
ENSMUSG00000001815	P49749
ENSMUSG00000100937	
ENSMUSG00000049940	Q80UU9
