		E-GEOD-11941	E-GEOD-12113	E-GEOD-29598	E-GEOD-32920	E-GEOD-48433	E-GEOD-48433	E-GEOD-48433	E-GEOD-48433	E-GEOD-57116	E-GEOD-57116	E-GEOD-60052	E-GEOD-63252	E-GEOD-63452	E-MTAB-3645	E-MTAB-6491	E-MTAB-6681	E-MTAB-6724	E-MTAB-6865	E-TABM-868
ENSG00000101181	MTG2	0.3	-1.1			0.99	0.5	0.5	1.5	0.2	-0.2	0.4	-1.1	-0.3	-0.9	0.7	-0.4	0.3	0.1	-0.4
ENSG00000101182	PSMA7	-0.2	-0.4	-1.2		0.5	0.6	0.6	0.6	0.7	1.6	0.2	-0.6	-0.5	0.99	0.99	0.99	0.4	0.9	0.99
ENSG00000101187	SLCO4A1	-0.4	-0.8	0.9		0.6	3.4	3.1	-1.1	2.1	1.3	-2.2	-2.5	1.4	1.3	2.4	-0.3	-0.3	6.4	0.4
ENSG00000101188	NTSR1	-0.5	-1.1	0.9		-0.6	0.3	0.5	-0.4	-0.3	-0.7	2.4	-1.4	0.9	0.99	0.99		-0.4	-2.9	0.99
ENSG00000101189	MRGBP		-0.7	0.6		-0.9	0.7	0.5	0.5	0.1	0.6	1.0	-1.1	0.4	0.99	-0.6	-0.1	0.1	1.3	-0.4
ENSG00000101190	TCFL5	1.4	-0.6	-0.8		-0.3	-0.1	0.99	0.99	-0.3	-0.8	0.3	-1.2	0.3	0.3	-1.4		0.4	0.2	0.99
ENSG00000101191	DIDO1	1.8		0.3		0.3	0.1	0.2	0.6	0.99	-0.9		-1.2	0.1	0.99	-0.5	-0.3	-0.1	-0.6	-0.2
ENSG00000101193	GID8	0.7	-0.6	0.3		0.2	0.1	0.2	0.5	0.2	1.0	0.6	0.99	0.2	0.4	-0.9	0.1	0.1	0.8	-0.6
ENSG00000101194	SLC17A9	-1.0	-0.1	0.3		0.1	0.6	0.6	0.2	-0.3	-0.4	-0.4	1.5	0.99	0.99	1.2		-0.6	2.4	-0.2
ENSG00000101198	NKAIN4	-0.6	-0.6			0.1	0.99	0.2	0.99	-0.5	-0.9	3.1	-1.1		0.99		-1.2			-0.1
ENSG00000101199	ARFGAP1	1.6	-0.4	1.4		-0.3	0.9	0.7	0.2	0.5	1.0	0.1	0.99	-0.4	0.99	0.5	-0.9	-0.3	0.3	0.2
ENSG00000101203	COL20A1					0.99	0.99	0.99	0.5	2.1	1.1	1.8	0.99	0.7	0.99	0.99	-0.3		0.99	
ENSG00000101210	EEF1A2	-0.9	-0.3	0.1	0.99	-0.5	-3.1	-2.8	0.8	1.1	1.0	2.2	-1.0	0.99	0.3		-0.1	0.1	3.8	-0.8
ENSG00000101213	PTK6		-0.2	0.5		-1.6	0.99	0.99	-0.5	-0.5	-0.4	0.4	2.2	0.1	0.99		0.99	0.99	-1.8	0.99
ENSG00000101216	GMEB2	0.4		0.8		0.99	0.7	0.5	0.99	0.6	-0.1	0.2	-0.5	-1.4	0.99	-0.3	-0.4	0.2	-0.4	0.3
ENSG00000101220	C20orf27	-0.2	-0.6	1.0	-1.6	0.5	0.6	0.4	1.6	0.7	0.9	0.2	-2.7	0.9	-0.6	0.1	-0.2	0.5	0.7	-0.5
ENSG00000101222	SPEF1	-0.1		0.9		-0.2	0.4	0.4	0.2	-2.4	0.9	0.1	0.99	0.99	-0.1	0.4	-0.7		0.99	-0.3
ENSG00000101224	CDC25B	-0.3	-1.1	0.1		0.7	0.7	0.5	1.6	0.7	0.4	0.5	-2.7	0.1	-0.8	-0.8	0.99	-0.2	-0.7	-1.1
ENSG00000101230	ISM1	-2.4	-0.7			0.2	0.1	0.99	0.99	2.7	0.6	-0.7	-0.8	1.2	0.99	1.1		-0.2	-5.5	0.2
ENSG00000101236	RNF24	-0.5	-0.7	1.1		0.1	0.5	0.5	0.99	1.1	-0.3	0.3	0.99	-0.4	1.1	1.2	-0.3	-0.1	0.9	-0.8
ENSG00000101246	ARFRP1		-0.4	0.4		-0.3	0.3	-0.1	0.99	1.9	2.4	0.1	-0.4	0.1	0.99	0.2	-0.4	-0.3	-0.1	-0.3
ENSG00000101247	NDUFAF5	0.1		0.6		0.99	0.2	0.99	0.99	-1.5	-1.2	0.9	-0.5	0.99	-0.8	-0.8	0.1	-0.3	-0.3	0.99
ENSG00000101251	SEL1L2	-0.1	-0.4			0.99	0.99	0.99	0.4	0.99	-1.4	0.8	-0.7		0.99	3.2				0.99
ENSG00000101255	TRIB3	-1.0	-0.9	0.7		-2.5	2.8	2.4	-1.0	0.2	0.1	0.8	1.4	-3.8	0.3	0.99	0.4	0.2	3.4	0.99
ENSG00000101265	RASSF2	-0.5		0.2		-0.2	-0.2	0.99	0.99	1.4	0.3	-1.9	-1.3	0.3	-1.2	-1.4	0.1	0.4	1.1	-0.8
ENSG00000101266	CSNK2A1	1.0		0.1		-1.1	0.7	0.7	0.6	0.99	-0.7	0.2	1.1	-1.1		0.99	0.1	-0.1	0.9	0.99
ENSG00000101278	RPS10P5		-0.6	-0.8		0.1	-0.2	0.99	0.99	-0.5	2.5	-0.2	-1.1	0.99	0.99	-1.3		0.6	-0.5	-0.4
ENSG00000101280	ANGPT4	-0.1		0.4		0.99	-0.4	-0.5	0.1	1.4	0.99	1.1	-1.4	-2.3	0.99	0.4		-0.1	0.99	0.99
ENSG00000101290	CDS2	-0.6	0.2	-0.9		0.99	-0.8	-0.9	0.2	0.99	-0.8	-0.1	-0.4	0.99	0.99	1.2	0.1	-0.3	0.1	-1.0
ENSG00000101294	HM13		-0.8			-0.1	0.3	0.5	0.5	-0.3	-0.3		0.2	0.1		1.5	-0.1	-0.3	0.9	0.6
ENSG00000101298	SNPH		-0.5	1.1		0.99	0.99	-0.3	-0.2	2.6	0.4	-0.2	0.2	0.5	0.99	0.99	-1.0		-0.9	
ENSG00000101306	MYLK2	-0.4				0.99	0.99	-0.1	-0.6	-0.3	-0.7	2.3	-0.8		0.99	0.99	-0.7		2.8	0.99
ENSG00000101307	SIRPB1	-0.1				0.99	-0.5	-0.4	-0.4			-1.0	-0.4	0.99	0.99	1.2		0.2	-2.0	-1.5
ENSG00000101310	SEC23B	0.6		-0.1	0.99	0.99	0.7	0.8	0.7	0.6	0.7	-0.4	0.8	-0.2	-0.4	-0.1	0.1	0.1	2.5	0.99
ENSG00000101311	FERMT1	-0.7	0.1	-0.2		0.99	1.7	1.8	2.2	-0.2	-0.9	0.2	-0.8	0.6	-0.8	0.99	-0.6		0.99	0.99
ENSG00000101331	CCM2L	-0.3				-0.1	0.99	-0.1	-0.2	1.2	1.5	-1.0	-1.7		0.99	-0.3				0.99
ENSG00000101335	MYL9	-0.4	-0.9	-0.4	0.99	0.3	2.7	3.1	0.9	0.3	0.6	-2.2	-2.4	1.4	-0.7	0.6	0.99	0.3	4.2	-2.6
ENSG00000101336	HCK	-0.7	-0.3	0.1		0.4	1.0	0.99	0.2			-1.6	-1.1		0.99	-0.2		0.99	3.5	-0.3
ENSG00000101342	TLDC2	-0.2	-0.1			0.9	-0.3	-0.2	-0.5	0.6	-1.2	-1.1	-0.3	0.99	0.99	0.2		-0.1	-3.2	0.99
ENSG00000101343	CRNKL1	0.4	0.3	-0.7	-0.4	-0.2	0.3	0.3	0.7	0.8	0.4	0.3	2.7	-0.1	0.99	0.99	0.2	0.99	-1.0	0.3
ENSG00000101346	POFUT1	0.5		0.1		-0.7	0.5	0.4	-0.2	-0.5	-0.3	-0.2	0.99	1.4	-0.3		-0.1	-0.1	0.9	-0.4
ENSG00000101347	SAMHD1	0.8	-0.1	0.1		0.6	0.5	0.2	2.3	0.6	-0.2	-1.7	-0.2	1.2	-0.9	0.99	0.3	0.2	-2.5	0.99
ENSG00000101349	PAK5	-0.4		0.7		0.99	0.4	0.1	0.2	6.7	4.0	2.6	-0.5		0.4		0.2	0.1		-0.2
ENSG00000101350	KIF3B			-0.9	-0.2	0.7	0.99	0.99	0.9	0.8	-0.1	0.4	1.9	0.99	0.99	-0.5	0.2	0.3	1.0	
ENSG00000101353	MROH8	-0.5				0.99	0.99	0.99	-0.2	-1.3	1.9	-0.4	-1.0	0.4	0.99	0.3	0.4	-0.1	0.5	
ENSG00000101361	NOP56									-1.0	0.4	0.9		2.2			-0.5	-0.1	-0.3	
ENSG00000101363	MANBAL	0.5	-0.7			-0.6	-0.5	-0.5	0.4	0.9	0.6	0.1	-1.3	0.3	-1.4	-0.3	0.2	0.99	0.6	0.99
ENSG00000101365	IDH3B	0.6	-0.9	-0.6		0.5	0.8	0.6	0.6	0.5	1.6	0.3	-1.3	1.0	-0.9	-0.5	-0.3	0.2	0.4	-0.6
ENSG00000101367	MAPRE1	-0.4		-0.6		0.5	0.5	0.7	1.1	0.9	0.2	0.2	-0.6	0.99	0.3	-0.7	0.1	0.4	1.3	-0.3
ENSG00000101384	JAG1	0.3	-0.5	0.1		-0.8	0.8	1.5	0.99	-0.5	-1.2	-0.7	0.99	-1.3	0.8	-0.7	-0.5	-0.2	1.6	2.3
ENSG00000101391	CDK5RAP1	1.4	-0.7	0.1		0.99	0.99	0.99	0.99	0.99	0.2	0.2	-0.7	-0.8	-0.6	-0.1	-0.2	0.1	0.99	-0.3
ENSG00000101400	SNTA1	-0.6	-0.7	0.7		0.99	-0.1	0.99	0.6	0.1	0.8	0.4	-2.0	-0.2	0.3		0.2	0.1	0.4	0.99
ENSG00000101405	OXT	-0.8		0.3		0.99	-0.2	-0.2	-0.1			2.4	-0.8		-0.3	1.9			0.99	-0.1
ENSG00000101407	TTI1	1.4	-0.4	0.4		-0.8	0.1	0.3	0.7	-0.1	-1.0	0.7	-1.8	1.0	-0.9	-0.5	0.2	0.1	0.8	-0.3
ENSG00000101412	E2F1	-0.5		1.0	0.99	0.8	1.1	0.9	0.9	-0.1	0.2	2.2	-1.6	2.6	-0.9		0.1	0.2	6.9	-0.4
ENSG00000101413	RPRD1B	0.4	-0.3			0.3	0.6	0.6	0.7	0.6	0.4	-0.1	1.2	0.99	0.99		0.1	0.3	1.5	
ENSG00000101417	PXMP4	-1.2	-0.3	0.2		0.4	-0.6	-0.5	0.6	0.1	-0.5	-0.4	-1.9	1.5	0.99		0.1	-0.3	0.6	-0.8
ENSG00000101421	CHMP4B		-0.4			0.6	0.99	0.99	0.3	0.9	0.5	0.1	0.99	-0.6	0.99	-0.3	-0.1	0.4	1.1	0.2
ENSG00000101425	BPI	-0.6		0.4		0.99	-0.4	-0.4	0.99			0.7	-0.5		0.99	-1.2		0.99	0.99	0.99
ENSG00000101439	CST3	-0.7	-1.0	0.1		0.2	-0.8	-0.6	0.99	0.6	1.2	-1.3	-1.1	0.6	-0.7	0.99	-0.3	-0.2	-0.8	-0.7
ENSG00000101440	ASIP	-0.2		0.5		0.2	-0.3	0.2	-0.2	-1.2	-4.0	2.5	-1.2	0.4	0.99	0.99			0.99	0.1
ENSG00000101441	CST4		-0.3	1.1		-0.4	1.9	1.7	0.4			1.3	-1.0		-0.2	0.99				0.99
ENSG00000101442	ACTR5	0.9		0.5		-0.7	0.3	0.2	-0.4	-0.9	-1.0	0.4	0.99	0.8	0.99	-0.4	-0.3	0.3	-0.6	-1.0
ENSG00000101443	WFDC2	-0.5	-1.1	0.5		-3.4	-0.3	-0.3	-0.2			0.6	-1.1	0.99	0.99	0.99	-0.4		0.3	0.99
ENSG00000101444	AHCY									0.4	0.7	0.5		0.7	0.99		-0.2	0.2	2.4	
ENSG00000101445	PPP1R16B			0.6		0.1	0.3	0.2	0.99			-1.4	-0.5		0.99	-3.5	-0.8	0.3	1.5	-0.5
ENSG00000101447	FAM83D	0.4	-0.7			4.9	0.9	1.2	4.6	0.1	-0.2	0.7	-2.4	0.3	-0.6	-2.3	0.3	-0.1	3.6	-1.9
ENSG00000101452	DHX35	1.2	-0.6	-0.3		0.2	0.9	0.8	0.8	0.2	-0.9	0.5	-0.9	1.1	-1.2	-0.8	-0.2	0.99	-0.2	-0.5
ENSG00000101457	DNTTIP1	0.4	-1.2			0.1	0.8	0.8	1.6	-0.5	1.0	0.1	1.1	-0.5	-0.4	0.99	-0.1	0.1	1.8	-0.3
ENSG00000101460	MAP1LC3A	-0.5	-0.2			0.99	-0.4	-0.6	-0.4	-0.5	-1.7	0.9	-0.9	0.99	0.99	-0.1	0.99	0.99	1.1	0.99
ENSG00000101464	PIGU		-0.7			0.5	-0.6	-0.4	0.7	0.2	-0.1	0.7	-1.3	0.4	-0.3	0.9	0.99	-0.2	1.7	-0.8
ENSG00000101470	TNNC2		-0.6	0.99	0.2	1.3	0.1	0.99	0.6	0.7	0.6	1.6	-0.7	0.99	0.99	0.3			1.4	-0.4
ENSG00000101473	ACOT8		-0.5	0.99	-0.8	1.4	-0.5	-0.5	0.99	-1.6	-0.4	0.5	0.99	-0.4	-0.4	1.2	0.99	0.1	1.0	-0.4
ENSG00000101489	CELF4	-0.3				0.99	0.99	0.3	0.99	3.8	2.0	2.6	-0.5	0.3	-0.1	0.5	-0.6	0.99	-1.8	0.99
ENSG00000101493	ZNF516	0.3		-0.3		-0.2	-1.2	-1.0	-1.1			0.6	1.1	-0.2	0.99	0.99	-0.3	0.1	-0.6	-0.6
ENSG00000101542	CDH20	-0.4		0.7		0.99	-0.3	-0.3	0.99			2.4	-1.1	0.7	-0.2		0.99		-1.8	-0.2
ENSG00000101544	ADNP2		-0.1	-0.4		-0.2	0.5	0.3	1.3	0.3	-0.8	-0.1	0.7	0.3	0.99	-0.8	0.1	0.3	0.4	-0.3
ENSG00000101546	RBFA	-0.9	-0.6	0.5		0.3	0.5	0.5	0.9	-1.2	-0.2	1.6	-2.1	0.9	-0.5	-0.5	-0.2	-0.3	0.99	-1.0
ENSG00000101557	USP14		0.2	-0.7		0.99	0.7	0.8	0.8	0.5	0.99	0.2	1.5	0.99	0.99		0.3	0.3	0.8	
ENSG00000101558	VAPA	0.3	-0.2	0.2		-0.3	0.2	0.99	0.99	0.5	-0.2	-0.5	1.5	-0.2	0.99	0.99	0.2	0.4	0.4	-0.4
ENSG00000101574	METTL4	0.6		-0.6	-0.4	-0.9	0.4	0.4	0.2	-0.7	0.99	0.5	2.1	-0.8	0.1	-0.2	0.2	0.2	-0.9	0.99
ENSG00000101577	LPIN2	0.7	0.2	-0.1		-0.4	0.2	0.1	-0.1	0.99	-0.9	-0.3	1.4	-0.7	1.0	-0.2	0.1	0.1	-0.1	0.1
ENSG00000101596	SMCHD1	0.6	0.4	-0.2		-1.4	0.5	0.4	0.99	0.6	-0.3	0.3	3.3	-0.4	1.0	-1.5	0.3	0.99	-4.2	-0.1
ENSG00000101605	MYOM1	0.7	-0.1	0.6	0.99	-0.8	0.3	0.4	0.99	-0.5	-1.0	0.2	-0.7	0.2	1.6	-0.5		-0.1	-1.9	0.99
ENSG00000101608	MYL12A	1.1	2.2			-0.8	1.7	1.3	-2.0	0.6	2.1	-1.7	0.5	0.99	0.99	0.99	0.7	0.2	0.2	0.6
ENSG00000101624	CEP76	2.0	0.1	-1.3	-0.3	0.2	0.5	0.6	0.8	-0.6	0.2	1.4	1.4	-0.1	0.99	0.1	0.1	-0.1	1.5	-0.7
ENSG00000101638	ST8SIA5			0.9		0.99	0.99	0.2	0.1	4.4	2.6	2.1	-0.8	0.99	0.99	0.1	0.4	-0.1	2.1	0.3
ENSG00000101639	CEP192	1.8	-0.4	-1.5	-0.4	0.4	0.7	0.5	1.0	0.1	-0.5	1.0	3.3	0.4	0.99	-0.8	0.99	0.99	-1.0	-0.3
ENSG00000101654	RNMT	0.6	0.2	0.1		0.1	0.4	0.99	0.6	1.6	0.8	0.6	3.4	-1.0	1.6	-0.3	0.1	0.99	-0.9	0.99
ENSG00000101665	SMAD7	0.5	-0.8	0.4		-0.9	0.1	-0.2	0.3	-0.9	0.1	-1.4	0.99	-1.2	0.3	-3.2	-0.2	0.9	0.3	-0.8
ENSG00000101670	LIPG	-0.1	-0.3	0.3	-0.2	2.1	3.2	3.8	1.4	-0.4	0.4	1.2	-0.4	-0.2	1.2	0.3	-0.3	-0.3	3.8	1.7
ENSG00000101680	LAMA1					0.99	-1.5	-1.6	-1.9	0.1	0.5	1.1	-0.9	0.4	0.99	0.99				0.99
ENSG00000101695	RNF125	-0.5		-1.1	-0.7	0.99	-0.1	0.4	-0.1	0.4	-0.4	-0.5	1.5	0.7		-1.1	0.2	0.5	-1.1	-0.8
ENSG00000101745	ANKRD12	2.8	0.5	-0.4		-1.3	-0.5	-0.3	-0.8	-0.1	-0.9	0.4	0.6	-0.7	1.2	-0.9	-0.2	0.1	-3.9	0.5
ENSG00000101746	NOL4	-0.3		0.6		0.99	-0.2	0.99	0.99			2.4	-0.5		0.99		0.99			0.3
ENSG00000101751	POLI	1.4	0.1	-1.5	-0.4	-1.9	0.99	0.99	-1.9	-0.8	-0.4	0.6	3.4	-0.3	1.2	-0.2	0.1	-0.1	-2.8	0.6
ENSG00000101752	MIB1		2.2			0.99	0.99	0.99	0.4	0.8	0.99	0.7	3.6	-0.5	1.6	0.4	0.4	0.1	-1.2	-0.2
ENSG00000101773	RBBP8		0.2	-0.3		0.99	1.4	1.1	0.9	0.2	-0.1	1.6	1.5	0.99	0.99	-0.7	0.3	0.2	3.3	0.99
ENSG00000101782	RIOK3	0.7	0.3	-1.9		-0.4	0.7	0.6	-0.6	1.3	0.8	0.2	4.0	-1.6	1.1		0.3	0.1	0.99	0.99
ENSG00000101811	CSTF2	0.3	-1.1	0.99		0.7	1.7	1.7	1.4	0.2	0.9	0.6	-1.7	0.3	-1.6		-0.1	0.3	1.9	-0.8
ENSG00000101825	MXRA5		-0.5	1.0		0.99	-4.1	-5.8	-0.3			-0.5	-0.4		0.99					0.1
ENSG00000101842	VSIG1		-0.4			0.99	-0.2	0.99	0.99	4.0	3.2	0.9	0.99	-0.7	0.99	-0.3			-5.6	0.99
ENSG00000101843	PSMD10	0.3	-0.1	-1.5		0.99	-0.2	0.99	0.99	0.6	0.5	0.7	1.4	-0.7	-0.4	-0.6	0.4	0.2	1.4	0.99
ENSG00000101844	ATG4A	0.6		0.2		0.99	0.99	0.2	0.3	0.4	-0.2	0.5	3.4	0.2	-0.5	0.5	0.5	0.99	0.5	
ENSG00000101846	STS	-2.3	0.1	-0.5		1.7	0.3	0.5	0.99	0.7	-0.4	-0.4	-0.5	1.3	-0.4	0.5	0.7	-0.2	-0.7	0.99
ENSG00000101849	TBL1X	-0.5	0.2	1.3		0.7	0.4	0.6	-0.2	0.4	-0.5	0.6	0.5	-1.9	0.5	-2.7	0.3	0.1	0.3	-1.3
ENSG00000101850	GPR143	-0.2		0.4		0.99	-0.2	-0.2	-0.1	2.3	0.7	0.6	-0.7	-0.5	0.99	1.2			0.5	0.99
ENSG00000101856	PGRMC1	-0.1	0.2	-1.5		0.99	0.99	0.99	0.6	0.9	0.5	0.1	0.5	1.1	-0.3	0.99	0.2	-0.1	1.1	0.99
ENSG00000101868	POLA1		0.4	-0.3		0.4	0.2	0.99	1.9	0.8	0.99	0.5	0.2	0.5	0.99	-0.5	0.2	0.2	0.4	-0.2
ENSG00000101871	MID1	-0.2	-0.1	0.9		-0.1	-0.8	0.2	1.9	0.4	-0.6	-0.1	0.6	0.7	0.6	0.99	-0.2	0.6	2.9	0.2
ENSG00000101882	NKAP	0.3	-0.7			-1.1	0.3	0.3	0.2	0.3	-0.1	0.9	2.9	-1.2	0.99	-0.7	0.1	0.4	1.1	0.2
ENSG00000101888	NXT2		0.4	0.1		0.99	0.3	0.4	0.3	0.8	0.6	-0.3	2.8	0.99	-0.3	-1.0	0.4	0.2	-0.8	-0.2
ENSG00000101892	ATP1B4			0.3		0.99	0.99	0.99	-0.1			1.9	0.99		-0.1	-1.5				0.99
ENSG00000101901	ALG13	-0.5	-0.1	1.2		-1.1	0.6	0.7	-0.4	0.99	0.8	-0.4	2.7	-0.8	0.99	-1.0	0.99	-0.2	-1.5	-0.7
ENSG00000101911	PRPS2	-1.2	0.1	-0.8		0.9	0.5	0.4	2.3	0.7	0.2	0.5	-0.7	0.5	0.99	-0.4	0.4	0.3	1.7	-0.4
ENSG00000101916	TLR8	-0.2		0.4		0.99	-0.1	0.1	-0.3			-0.5	-0.7		0.4	-1.6		-0.3	0.99	0.5
ENSG00000101928	MOSPD1	0.4		-0.6	-0.4	-2.9	-0.5	-0.3	-1.8	0.4	0.99	0.5	2.2	-0.7	0.99	1.9	0.4	0.99	0.5	0.99
ENSG00000101935	AMMECR1	1.1		0.2		0.6	1.5	1.6	1.2	0.6	-0.2	-0.3	1.9	-0.1	-0.6	-1.0	0.7	0.99	-2.3	0.99
ENSG00000101940	WDR13	0.3	-0.6	0.5		-0.9	-0.9	-1.1	-0.3	0.6	0.5	-0.2	0.99	-0.5	-0.4	0.6	-0.5	0.1	0.2	-0.1
ENSG00000101945	SUV39H1	0.3	-1.0	0.9		1.2	1.2	1.1	2.5	-1.3	-0.6	0.9	-2.5	0.9	-2.0		-0.2	0.2	2.5	-1.0
ENSG00000101955	SRPX	-0.8	-0.7	-0.1		-1.2	2.5	4.8	-0.7	1.3	0.7	-1.9	-1.8	1.7	1.0	-0.8	-0.5	0.99	1.8	-0.3
ENSG00000101958	GLRA2	-0.2		0.8		0.99	-0.3	-0.2	0.99	0.6	-0.4	3.1	-1.4		0.3		-1.1			
ENSG00000101966	XIAP	1.2	0.8			-0.8	0.99	-0.1	-0.6	0.7	-0.2	0.4	3.5	-1.6	1.6	0.4	0.99	0.4	-1.6	0.7
ENSG00000101972	STAG2	0.8	0.3	0.3		0.1	0.5	0.7	0.6	0.7	0.99	0.4	3.6	-1.4	0.9	-0.6	0.3	0.2	-2.1	0.4
ENSG00000101974	ATP11C	-1.0	0.3			0.7	0.7	0.9	0.8	0.8	-0.1	0.4	1.5	0.5	1.0	-0.5	0.2	-0.3	-2.6	0.2
ENSG00000101977	MCF2			0.4		0.99	0.4	0.2	0.3	4.4	2.6	0.1	0.99	0.3	0.3		0.99		-4.0	-0.1
ENSG00000101981	F9	-0.8		0.6	0.99	0.99	0.99	0.99	0.99	5.0	2.8	1.6	0.99		0.99	0.99				0.1
ENSG00000101986	ABCD1	-0.7	-0.9	-0.1		-0.4	-0.2	-0.1	0.4	0.2	0.2		-1.0	0.5	0.99	0.7	0.1	-0.1	-0.2	-0.9
ENSG00000101997	CCDC22	0.1	-0.9	-0.6	-0.4	0.99	0.8	0.3	0.7	0.5	0.6	-0.2	-1.7	0.1	0.99	1.5	-0.3	0.2	0.1	-0.8
ENSG00000102003	SYP	-0.4		0.7		0.99	0.2	0.1	0.6	-1.8	0.6	0.5	0.99	-0.6	-0.2		-0.2	-0.6	3.5	
ENSG00000102007	PLP2	-1.5	-0.8	-0.1		0.6	0.4	0.99	1.3	1.0	1.1	0.2	0.99	0.1	-0.4	0.6	-0.6	-0.3	1.0	-0.2
ENSG00000102024	PLS3	-1.4	0.1	-1.4		0.99	0.4	0.7	0.9	1.0	0.3	-1.4	2.0	-1.2	0.6	1.2	0.2		2.3	1.3
ENSG00000102030	NAA10		-1.2	0.2		0.99	0.7	0.9	0.6	0.2	1.0	0.4	-1.6	0.9		-0.2	-0.3	0.4	0.3	-0.2
ENSG00000102034	ELF4	-0.7	-0.8	0.8		-0.4	0.4	0.5	1.1	0.2	-0.5	-0.3	0.99	-0.1	-0.3	-0.4	0.8	0.1	0.2	-0.5
ENSG00000102038	SMARCA1	-2.1	0.6	0.99		0.2	-0.7	-0.4	-0.3	0.8	0.2	0.1	1.7		0.9	0.9	0.3		-2.9	0.2
ENSG00000102043	MTMR8	-0.4		0.4		0.99	-0.1	0.99	-0.3			-0.5	-1.3	0.99	0.99	0.5		0.99	0.3	0.2
ENSG00000102048	ASB9	-0.6	-0.2	0.3		1.5	-0.8	-0.9	2.9	-0.1	0.99	-1.4	-0.8	0.99	0.4	-0.3			1.2	0.99
ENSG00000102053	ZC3H12B	-0.3				0.99	-0.3	-0.3	0.99	-1.6	-2.8	-0.7	-0.4	0.6	0.7		0.2	0.3	-2.1	-0.1
ENSG00000102054	RBBP7			-0.9		0.99	0.99	0.99	0.6	0.6	0.5	0.9	-0.5	0.1	0.99	-0.5	0.1	0.1	1.9	-0.6
ENSG00000102055	PPP1R2C	-0.4	-0.5	0.3		0.99	0.1	0.99	0.99				-0.7		0.99	0.99			-2.4	-0.3
ENSG00000102057	KCND1	1.2		0.6		0.99	-0.2	-0.3	0.3	-0.1	-0.5		0.8	-1.0	0.99		-0.5	-0.3	2.5	0.99
ENSG00000102078	SLC25A14	0.5	-0.3	0.8		0.99	0.4	0.5	-0.5	-0.2	0.5	0.1	0.6	1.2	-0.5	-0.3	0.99	0.1	-0.5	
ENSG00000102081	FMR1	0.6	-0.1	-0.7		-0.6	0.2	0.3	0.3	0.7	0.99	0.4	2.0	-0.3	0.7	-0.8	0.1	0.4	-2.1	0.8
ENSG00000102096	PIM2	-0.4		0.8		0.99	0.3	-0.1	0.9	-1.5	-0.3	-0.3	-1.4	2.5	-0.9	-0.6	0.2	0.1	0.5	1.7
ENSG00000102098	SCML2			0.9		0.99	-0.1	0.99	-0.1	0.1	-0.6	0.9	0.99	0.8	0.5		0.99	-0.2	1.8	-0.2
ENSG00000102100	SLC35A2	1.2	-0.6	0.1		-0.4	-0.3	-0.5	0.2	-0.4	1.1	-0.3	1.4	-0.8	-0.4	0.6	-0.1	-0.4	1.0	-0.2
ENSG00000102103	PQBP1	0.5	-1.3	-1.4		-0.3	-0.1	-0.2	0.8	-0.1	1.1	0.7	0.1	0.99	-0.5	0.99	-0.4	0.3	0.5	-0.5
ENSG00000102109	PCSK1N	-0.4	-0.9	-0.1	0.99	0.3	-3.1	-2.8	-0.1			2.8	-1.0	0.5	-0.2	0.5	-0.6		-0.8	
ENSG00000102119	EMD	-0.6	-0.3	0.9		-0.3	-0.9	-1.1	-0.7	0.7	1.3	-0.1	-0.4	-0.2	0.99	-0.1	0.1		0.5	0.2
ENSG00000102125	TAZ	0.3	-0.4	1.0		-0.3	0.6	0.5	-0.7	0.3	0.4		-0.7	-0.4	0.99		-0.5	-0.1	-0.1	-0.3
ENSG00000102144	PGK1	-0.7	-0.9	-0.3	-0.3	0.3	0.99	0.99	0.3	0.8	0.7	0.2	0.99	0.9	0.5	0.99	0.2	0.2	2.9	-0.5
ENSG00000102145	GATA1	-0.4		0.5		0.99	0.99	0.99	0.99	-1.6	-1.3	1.3	-0.9	0.99	0.99				2.4	0.99
ENSG00000102158	MAGT1	-0.1	0.3	-4.1	-0.6	0.6	-0.5	-0.3	-0.2	0.6	0.99	-0.2	2.5	-0.3	0.3	0.1	-0.1	-0.4	0.3	0.99
ENSG00000102172	SMS									1.0	0.2	1.1		0.2			0.99	0.5	2.5	
ENSG00000102174	PHEX			0.3		-0.2	-0.4	0.99	0.2	3.1	0.7	0.1	-1.0	0.1	0.99		0.1	-0.2	1.4	0.3
ENSG00000102178	UBL4A	0.8	-0.6	0.3		-0.2	0.99	0.99	0.8	-1.5	-0.5	-0.2	-1.0	1.4	-0.2	0.99	0.2	0.1	1.4	-1.5
ENSG00000102181	CD99L2	-1.1	-0.6			0.4	-0.4	-0.3	0.6	0.6	-0.1	0.2	-1.0	0.2	-0.5	0.99	0.99	-0.1	0.7	-0.5
ENSG00000102189	EEA1	-0.3	0.3	-1.2		0.2	0.5	0.2	1.2	0.5	-0.3	-0.2	2.9	-0.6		0.6	-0.4	-0.3	-3.3	0.99
ENSG00000102218	RP2		0.5	-1.7	-0.7	-1.1	-0.4	0.99	0.5	0.4	-0.4	-0.7	1.5	-1.1	0.6	0.4	0.6	0.2	0.8	0.8
ENSG00000102221	JADE3	0.9	0.5	-0.1		-0.5	-0.3	0.99	0.7	0.8	-0.1	0.7	0.7	-0.4	0.8	-0.8	0.3	0.5	4.3	1.2
